cut,color,clarity,city,carat,depth,table,x,y,z,price
2,3,7,1,0.64,61.8,54.0,5.53,5.56,3.42,2587
2,1,5,10,0.8,62.2,57.0,5.95,5.98,3.71,3648
2,0,2,5,0.3,61.9,56.0,4.28,4.31,2.66,552
3,1,5,3,0.38,61.8,58.0,4.61,4.64,2.86,866
2,3,4,1,0.31,62.1,55.0,4.33,4.37,2.7,625
0,4,2,8,1.0,55.2,64.0,6.69,6.64,3.68,3830
2,3,5,10,0.78,61.7,55.0,5.94,5.89,3.65,3184
4,0,2,12,1.0,59.8,59.0,6.47,6.51,3.88,5671
4,4,4,8,0.7,60.3,63.0,5.77,5.73,3.47,2399
4,2,2,1,0.64,60.7,59.0,5.51,5.59,3.37,1688
2,5,4,10,0.31,61.3,55.6,4.37,4.4,2.69,513
2,3,5,5,0.52,61.9,55.0,5.15,5.18,3.2,1549
2,1,4,5,0.33,62.6,57.0,4.42,4.4,2.76,1002
4,4,6,11,0.3,63.4,57.0,4.31,4.27,2.72,878
1,6,2,6,1.0,63.9,60.0,6.26,6.19,3.98,3679
2,1,0,11,0.3,60.3,57.0,4.39,4.36,2.64,495
3,4,4,8,0.47,61.8,58.0,4.99,4.94,3.07,1221
2,4,4,10,1.59,60.7,56.0,7.54,7.58,4.59,13839
1,3,2,2,1.01,63.7,60.0,6.32,6.28,4.01,5113
2,4,2,3,0.34,62.6,56.0,4.48,4.46,2.8,628
2,1,7,12,0.31,60.8,57.0,4.36,4.39,2.66,816
2,3,5,3,0.74,61.2,56.0,5.82,5.85,3.57,3434
2,2,5,10,0.33,62.6,55.0,4.42,4.4,2.76,854
2,5,5,5,1.08,61.8,54.0,6.6,6.57,4.07,5455
2,3,2,2,0.79,62.3,57.0,5.9,5.85,3.66,2898
2,4,7,7,0.3,61.5,57.0,4.34,4.31,2.66,776
2,5,7,12,1.33,62.2,56.0,7.01,7.04,4.37,7887
4,4,2,3,0.51,61.2,55.0,5.19,5.21,3.18,1008
2,0,3,10,0.58,61.2,57.0,5.36,5.4,3.29,1342
2,4,5,11,1.22,62.0,58.0,6.81,6.86,4.24,7623
1,4,5,5,0.78,63.7,60.0,5.77,5.73,3.66,2440
2,5,4,10,1.62,60.8,56.0,7.56,7.61,4.62,11152
2,3,5,1,1.65,60.8,56.0,7.65,7.7,4.67,14456
4,2,4,8,0.55,61.2,56.4,5.28,5.33,3.25,1975
2,1,2,2,1.64,60.7,55.0,7.67,7.64,4.65,9801
3,1,5,8,0.3,62.5,59.0,4.27,4.3,2.68,658
2,0,5,9,0.41,61.7,56.0,4.81,4.78,2.96,1076
3,0,7,1,0.3,62.4,58.0,4.26,4.3,2.67,752
3,3,5,10,1.1,59.6,60.0,6.72,6.7,4.0,6121
2,5,2,9,1.03,63.3,57.0,6.37,6.46,4.06,4401
0,6,5,11,0.3,64.8,58.0,4.24,4.16,2.72,416
3,5,2,8,1.02,62.7,58.0,6.44,6.41,4.03,4227
3,1,5,5,0.56,61.8,56.0,5.31,5.28,3.27,1915
4,2,4,1,1.51,62.6,57.0,7.25,7.29,4.55,14976
3,5,2,10,1.13,61.8,59.0,6.65,6.68,4.12,4536
2,5,2,9,0.34,61.9,57.0,4.48,4.44,2.76,589
3,4,3,6,1.16,58.8,61.0,6.93,6.84,4.05,4157
4,2,5,3,0.38,59.7,57.0,4.73,4.79,2.84,752
3,3,2,1,1.03,60.5,60.0,6.52,6.48,3.93,5105
4,1,3,0,0.9,62.2,54.0,6.13,6.21,3.84,3715
4,0,2,4,0.5,62.8,58.0,5.02,5.05,3.16,1415
2,2,2,11,0.3,62.2,54.2,4.31,4.34,2.69,499
2,0,4,12,0.64,61.5,56.0,5.54,5.55,3.41,2787
0,2,3,10,0.91,65.3,51.0,6.05,5.98,3.93,2996
3,3,6,6,1.24,60.4,59.0,7.02,7.01,4.24,10485
2,5,3,7,2.3,61.8,57.0,8.48,8.45,5.23,16329
2,1,4,3,0.27,61.6,56.0,4.17,4.14,2.56,603
3,6,7,1,1.0,59.6,61.0,6.4,6.36,3.8,3864
2,3,5,3,0.71,62.9,56.0,5.73,5.68,3.59,2443
3,1,2,3,0.36,60.8,59.0,4.59,4.56,2.78,810
2,0,3,10,0.31,62.1,57.0,4.34,4.32,2.69,593
2,4,2,1,0.93,62.8,56.0,6.19,6.27,3.91,3988
1,0,5,5,0.33,61.8,61.0,4.4,4.44,2.73,652
3,3,3,10,1.77,62.7,59.0,7.67,7.66,4.8,9664
2,1,3,11,1.06,62.2,55.0,6.51,6.54,4.06,5223
2,3,3,8,1.21,62.1,57.0,6.8,6.85,4.24,5226
2,1,6,3,0.3,62.3,55.0,4.29,4.32,2.68,826
2,5,5,10,1.27,62.6,57.0,6.92,6.88,4.32,6401
4,0,3,0,0.92,62.4,60.0,6.21,6.25,3.89,4168
2,5,4,7,0.31,61.9,54.0,4.34,4.38,2.7,489
1,4,5,12,2.01,57.8,60.0,8.29,8.35,4.81,18561
2,3,4,10,1.51,61.9,57.0,7.37,7.34,4.55,14674
4,3,5,6,1.83,60.5,59.0,7.89,7.99,4.8,18358
3,2,4,7,0.38,62.4,59.0,4.57,4.63,2.87,933
3,2,7,1,0.23,61.3,59.0,3.94,3.99,2.43,445
2,5,2,10,0.92,62.1,55.0,6.24,6.29,3.89,3610
3,0,2,1,1.5,62.4,58.0,7.27,7.31,4.55,12069
4,3,4,7,0.32,62.1,55.0,4.41,4.44,2.75,645
2,2,3,8,1.0,61.2,57.0,6.39,6.48,3.94,4372
4,2,6,3,0.31,59.4,57.0,4.39,4.43,2.62,779
1,2,3,9,0.52,58.7,64.0,5.24,5.26,3.08,1350
2,4,3,9,2.01,62.5,53.9,8.04,8.07,5.04,14998
2,3,7,10,0.31,62.2,55.0,4.32,4.36,2.7,565
4,6,2,4,0.77,61.0,59.0,5.94,5.99,3.64,2086
4,4,3,5,1.13,59.8,59.0,6.75,6.82,4.06,4537
2,0,2,8,0.32,62.6,55.0,4.36,4.39,2.74,589
3,1,2,9,2.07,61.2,58.0,8.24,8.19,5.03,16957
3,3,5,3,0.71,60.3,59.0,5.79,5.76,3.48,2443
2,2,5,3,1.11,60.4,58.0,6.73,6.66,4.04,7275
3,2,3,10,1.02,61.1,59.0,6.45,6.41,3.93,4541
2,4,5,5,1.56,61.5,56.0,7.5,7.46,4.6,11636
4,5,5,0,0.34,61.6,56.0,4.47,4.51,2.76,457
3,3,3,0,0.96,62.7,60.0,6.29,6.11,3.89,3215
3,0,5,8,0.31,62.3,55.0,4.35,4.32,2.7,942
4,3,4,4,0.64,60.4,62.0,5.54,5.58,3.36,2060
3,2,6,3,1.01,62.5,58.0,6.41,6.35,3.99,7882
2,4,7,1,0.35,62.5,57.0,4.48,4.54,2.82,706
3,2,3,3,0.7,62.5,60.0,5.66,5.61,3.52,2373
2,4,4,5,0.3,62.1,54.0,4.35,4.32,2.69,675
2,4,6,1,0.71,61.1,56.0,5.78,5.81,3.53,3137
2,3,1,2,0.31,61.1,57.0,4.38,4.42,2.68,871
2,1,0,3,2.25,61.4,54.0,8.52,8.46,5.21,9072
3,5,2,4,1.18,62.8,56.0,6.74,6.71,4.22,5088
4,3,3,11,1.22,63.2,58.0,6.82,6.76,4.29,6409
2,3,5,10,1.72,62.8,57.0,7.65,7.58,4.78,12830
2,2,3,4,2.01,61.7,56.0,8.12,8.16,5.02,18394
3,3,2,10,1.03,60.1,60.0,6.55,6.52,3.93,5581
2,2,5,7,0.7,62.0,56.0,5.71,5.74,3.55,2671
1,1,2,0,1.01,64.3,59.0,6.23,6.28,4.02,5379
0,4,4,9,1.0,64.6,59.0,6.3,6.26,4.06,5242
2,2,7,10,1.1,61.2,56.0,6.66,6.74,4.1,10487
2,0,1,10,0.59,60.9,57.0,5.4,5.43,3.3,4208
4,4,5,10,0.3,63.5,59.0,4.27,4.2,2.69,608
2,1,4,8,0.56,61.3,55.0,5.29,5.32,3.25,1930
3,2,2,0,0.9,61.7,62.0,6.19,6.13,3.8,3936
4,1,5,7,0.57,60.7,58.0,5.37,5.33,3.25,1732
2,0,3,6,0.72,61.2,57.0,5.76,5.8,3.54,2328
0,4,2,3,1.0,65.5,57.0,6.26,6.21,4.08,3511
2,3,6,12,0.4,62.1,53.0,4.75,4.79,2.96,1043
3,5,3,0,1.22,62.3,58.0,6.8,6.85,4.25,4831
2,3,1,7,1.02,62.3,57.0,6.43,6.5,4.03,8955
2,4,5,8,1.08,61.8,56.0,6.59,6.55,4.06,5625
3,3,1,3,0.33,60.8,58.0,4.46,4.42,2.7,1052
4,1,7,0,0.42,59.8,56.0,4.9,4.92,2.94,1167
4,2,2,9,1.36,62.8,53.0,7.05,7.1,4.45,6597
2,2,4,5,0.58,62.1,56.0,5.38,5.32,3.32,2088
1,3,2,5,1.02,63.6,58.0,6.34,6.39,4.05,4964
1,1,5,9,1.19,57.4,60.0,6.9,7.0,3.99,6937
1,0,3,2,2.01,64.6,55.0,7.85,7.98,5.11,15394
4,2,3,6,1.15,63.1,63.0,6.67,6.57,4.18,4915
3,0,3,0,0.79,60.0,60.0,6.07,6.03,3.63,2853
3,0,5,0,0.32,62.9,59.0,4.39,4.36,2.75,842
2,2,5,11,0.31,61.6,56.0,4.38,4.35,2.69,749
4,2,4,3,0.54,61.0,58.0,5.24,5.25,3.2,1813
4,0,5,3,0.5,62.8,60.0,5.02,5.08,3.17,1627
4,4,3,10,1.86,62.3,57.0,7.82,7.85,4.88,11416
4,4,5,9,1.04,60.9,58.0,6.5,6.6,3.99,5447
2,3,5,4,1.41,60.8,55.0,7.27,7.2,4.4,10581
2,1,2,11,0.3,61.6,54.0,4.32,4.35,2.67,499
2,4,4,1,0.33,61.6,55.0,4.46,4.48,2.75,610
2,0,2,12,1.06,62.7,54.0,6.55,6.52,4.1,6055
2,5,3,3,0.31,62.0,54.1,4.32,4.35,2.69,372
1,3,2,1,0.91,64.3,60.0,6.04,6.12,3.91,3344
4,6,2,11,0.75,62.4,56.0,5.78,5.82,3.62,2083
4,2,1,10,0.3,62.1,57.0,4.26,4.3,2.66,886
2,0,6,6,0.41,60.6,57.0,4.82,4.79,2.91,1582
3,4,3,10,1.01,59.4,62.0,6.47,6.43,3.83,3083
4,3,6,11,1.02,63.0,58.0,6.4,6.43,4.04,7657
2,3,4,4,0.27,62.3,53.0,4.16,4.19,2.6,527
4,2,2,7,0.7,62.6,56.0,5.66,5.72,3.56,2196
2,5,5,10,1.51,62.3,57.0,7.28,7.37,4.56,9297
2,6,3,7,2.22,62.8,57.0,8.33,8.29,5.22,13703
3,3,5,5,0.54,62.7,58.0,5.21,5.25,3.28,1422
3,0,3,0,1.23,58.9,58.0,6.99,6.97,4.11,5283
1,1,2,5,0.9,63.9,57.0,6.12,6.08,3.9,3795
0,2,2,7,0.88,56.6,65.0,6.39,6.32,3.6,2882
0,3,3,9,0.7,58.6,56.0,5.8,5.74,3.38,2208
3,4,2,12,0.31,62.7,58.0,4.34,4.31,2.71,558
2,3,3,0,1.25,61.1,55.0,6.95,6.99,4.26,6371
3,3,3,11,1.01,59.1,59.0,6.55,6.51,3.86,4242
4,2,3,10,0.3,63.5,57.0,4.25,4.22,2.69,506
4,1,4,5,0.28,59.5,59.0,4.29,4.35,2.57,487
3,2,3,3,0.51,61.1,59.0,5.15,5.09,3.13,1227
2,5,5,10,0.52,61.9,58.0,5.14,5.17,3.19,1232
3,3,6,12,0.52,59.2,58.0,5.31,5.28,3.14,2153
1,0,3,3,0.3,63.3,57.0,4.26,4.3,2.71,447
4,0,2,3,0.51,62.2,58.0,5.08,5.11,3.17,1398
3,0,7,12,0.42,62.8,59.0,4.76,4.73,2.98,1241
3,4,5,3,1.82,61.6,60.0,7.78,7.74,4.78,14749
4,1,5,10,0.7,58.9,60.0,5.83,5.85,3.44,2845
2,3,7,8,1.37,62.3,55.5,7.05,7.14,4.43,12207
3,3,3,6,1.0,62.7,59.0,6.3,6.36,3.97,4095
2,3,3,3,1.2,61.1,57.0,6.83,6.86,4.18,5722
3,1,4,1,1.01,62.0,59.0,6.42,6.38,3.97,7964
2,4,2,5,0.5,61.7,58.0,5.07,5.11,3.14,1035
3,1,4,10,1.0,60.4,59.0,6.51,6.54,3.94,7744
2,2,1,4,0.31,61.4,56.0,4.38,4.41,2.7,1061
4,0,5,0,0.4,63.3,58.0,4.63,4.66,2.94,845
4,3,5,7,0.32,62.3,55.0,4.38,4.41,2.73,544
3,2,5,10,1.54,62.4,59.0,7.43,7.38,4.62,14578
3,1,0,0,1.05,61.4,58.0,6.53,6.46,3.99,2964
3,3,5,4,1.05,61.9,59.0,6.56,6.52,4.05,5821
1,3,4,6,1.0,63.9,55.0,6.34,6.28,4.03,6028
4,5,4,2,0.3,63.3,59.0,4.23,4.2,2.67,608
4,1,5,9,0.3,62.4,57.0,4.24,4.26,2.65,658
1,3,7,3,1.0,60.9,56.0,6.49,6.52,3.96,7492
3,2,4,1,0.39,60.6,55.0,4.77,4.73,2.88,1092
4,3,2,10,0.31,63.0,56.0,4.3,4.34,2.72,462
3,3,5,0,0.31,61.8,58.0,4.35,4.39,2.7,435
2,2,2,5,0.6,61.5,58.0,5.38,5.41,3.32,1646
2,3,3,11,0.31,60.5,57.0,4.4,4.36,2.65,523
4,0,5,3,0.3,62.6,61.0,4.22,4.25,2.65,710
2,3,6,10,0.41,62.1,55.0,4.79,4.74,2.96,1230
3,3,4,1,0.33,60.3,58.0,4.5,4.52,2.72,621
4,2,4,5,0.7,61.8,59.0,5.66,5.76,3.53,2895
4,1,6,4,0.28,62.1,57.0,4.17,4.21,2.6,707
4,5,4,1,0.7,63.3,55.0,5.64,5.6,3.56,1995
2,0,4,10,0.35,60.8,57.0,4.61,4.57,2.79,952
2,3,2,3,1.0,61.0,57.0,6.47,6.44,3.94,5622
3,2,1,9,0.76,60.6,60.0,5.89,5.85,3.56,4150
0,3,2,12,1.0,43.0,59.0,6.32,6.27,3.97,3634
4,3,2,10,1.0,62.6,59.0,6.29,6.33,3.95,4844
1,0,3,2,1.03,57.6,58.0,6.6,6.67,3.82,4177
4,2,7,6,0.25,62.0,59.0,3.99,4.04,2.49,576
2,4,5,3,1.1,60.5,57.0,6.73,6.7,4.06,5347
2,3,6,9,1.03,61.7,56.0,6.45,6.56,4.0,7708
4,6,2,1,1.14,63.3,55.0,6.6,6.67,4.2,4173
2,0,4,2,1.1,61.9,56.0,6.58,6.61,4.09,10144
3,2,3,6,0.73,60.5,57.0,5.84,5.8,3.52,2351
2,4,4,10,0.71,60.3,59.0,5.75,5.79,3.48,2487
1,0,6,3,0.7,61.0,61.0,5.69,5.72,3.48,4407
2,3,6,1,1.33,62.2,54.0,7.02,7.06,4.38,12255
3,4,2,1,1.15,62.0,58.0,6.77,6.66,4.16,5506
2,2,6,12,0.53,61.6,56.0,5.18,5.24,3.21,2896
4,2,3,8,1.3,61.1,58.0,6.98,7.02,4.28,6149
3,2,7,8,1.05,61.3,59.0,6.56,6.48,4.0,8693
3,3,5,9,0.57,59.7,59.0,5.37,5.41,3.22,1608
4,0,2,4,0.63,62.8,57.0,5.4,5.46,3.41,1885
4,1,3,10,0.91,60.3,59.0,6.28,6.25,3.78,3638
3,0,5,3,1.2,61.6,60.0,6.78,6.72,4.16,8693
3,1,2,1,1.01,63.0,61.0,6.42,6.37,4.03,5077
3,4,2,12,1.05,59.3,58.0,6.65,6.61,3.93,5161
2,2,5,3,0.34,62.2,55.0,4.47,4.5,2.79,641
3,5,5,1,1.19,61.7,57.0,6.84,6.77,4.2,5439
3,0,2,10,0.52,58.7,58.0,5.32,5.28,3.11,1720
1,5,3,9,0.53,63.6,58.0,5.08,5.11,3.24,942
2,1,5,0,1.11,61.0,57.0,6.65,6.7,4.08,9625
2,3,1,8,0.32,61.1,57.0,4.41,4.43,2.7,918
2,2,5,1,0.36,61.5,55.0,4.6,4.57,2.82,807
2,2,3,7,1.03,61.8,56.0,6.49,6.46,4.0,4454
3,5,4,5,0.33,59.5,60.0,4.54,4.5,2.69,668
4,2,5,9,0.7,62.4,57.0,5.67,5.71,3.55,2956
2,1,5,5,0.32,62.0,55.0,4.46,4.38,2.74,900
4,4,2,1,2.01,60.1,60.0,8.25,8.2,4.94,17476
2,3,4,4,0.32,61.2,56.0,4.39,4.43,2.7,645
1,3,3,5,0.9,64.1,56.0,6.12,6.08,3.91,3246
2,2,5,11,1.08,61.0,57.0,6.61,6.68,4.06,7781
2,4,6,4,0.31,61.8,57.0,4.35,4.32,2.68,907
3,4,5,1,1.02,61.8,58.0,6.49,6.43,3.99,5241
2,1,5,10,0.35,61.6,55.0,4.54,4.49,2.78,984
2,2,2,2,0.32,60.9,55.0,4.46,4.53,2.72,586
3,4,3,10,2.53,62.6,60.0,8.66,8.55,5.39,14659
2,1,2,3,0.55,61.4,55.0,5.29,5.26,3.24,1668
2,4,1,3,0.58,61.6,57.0,5.34,5.37,3.3,2211
3,1,5,0,0.52,60.6,58.0,5.23,5.2,3.16,1622
1,3,6,12,0.7,58.5,62.0,5.8,5.82,3.4,3380
2,4,5,9,0.52,61.3,55.0,5.2,5.24,3.2,1401
2,3,6,4,0.3,62.7,54.0,4.3,4.34,2.71,764
2,2,4,8,0.71,61.7,55.0,5.73,5.77,3.55,3041
2,3,7,3,0.4,62.6,53.0,4.72,4.77,2.97,917
2,6,3,3,1.02,61.6,55.0,6.49,6.43,3.98,2611
4,2,7,8,0.33,62.5,59.0,4.4,4.47,2.77,810
3,2,3,10,1.01,62.9,59.0,6.32,6.27,3.96,4616
4,2,7,10,0.32,62.0,55.0,4.38,4.42,2.73,717
4,1,5,5,1.5,62.1,60.0,7.27,7.31,4.53,14256
1,3,5,3,1.02,63.2,57.0,6.38,6.41,4.04,6058
2,1,1,9,0.33,61.9,57.0,4.41,4.45,2.74,1129
3,0,2,3,0.65,60.5,58.0,5.61,5.57,3.38,2134
2,2,1,2,0.3,59.8,58.0,4.37,4.46,2.64,873
3,3,3,6,1.21,60.3,58.0,6.96,6.9,4.18,5529
2,5,7,3,0.7,62.7,54.0,5.65,5.69,3.55,2487
3,3,5,3,0.51,61.3,59.0,5.17,5.11,3.15,1443
3,0,5,1,1.54,62.7,59.0,7.33,7.29,4.58,16921
4,2,2,7,0.43,61.6,59.0,4.83,4.87,2.99,792
3,5,6,11,0.33,61.9,60.0,4.44,4.41,2.74,780
1,5,6,5,0.9,62.4,61.0,6.05,6.09,3.79,3972
4,1,2,0,0.41,63.2,56.0,4.74,4.72,2.99,1015
2,3,1,11,0.31,61.9,56.0,4.33,4.35,2.68,871
4,2,2,11,1.54,58.8,60.0,7.54,7.59,4.45,11650
2,3,5,8,1.04,62.5,57.0,6.49,6.46,4.05,6709
2,1,2,2,0.62,61.7,54.0,5.53,5.49,3.4,2054
4,0,2,1,0.9,63.5,57.0,6.15,6.11,3.89,4304
2,4,4,2,0.36,61.5,55.0,4.59,4.62,2.83,651
2,2,6,7,0.3,62.1,55.0,4.32,4.31,2.68,1114
3,5,4,0,1.4,61.6,59.0,7.22,7.17,4.43,7722
4,4,3,1,1.7,60.8,56.0,7.67,7.72,4.68,10255
2,3,4,7,0.33,61.8,56.0,4.42,4.45,2.74,666
2,2,4,3,1.06,61.9,57.0,6.53,6.55,4.05,7345
4,3,2,3,0.4,59.2,61.0,4.78,4.81,2.84,702
2,6,3,9,1.1,60.1,57.0,6.77,6.74,4.06,4624
0,4,5,3,0.9,65.5,57.0,6.05,6.01,3.95,3226
3,3,7,12,0.32,61.2,59.0,4.39,4.44,2.7,730
2,1,4,11,0.33,62.7,57.0,4.45,4.38,2.77,1002
4,1,2,6,0.73,63.3,60.0,5.65,5.7,3.59,2523
3,3,2,9,1.51,62.4,62.0,7.25,7.12,4.48,10688
2,5,3,12,2.07,62.0,55.0,8.22,8.12,5.07,16337
3,1,3,10,1.0,61.0,59.0,6.4,6.33,3.89,3752
4,4,2,12,1.04,63.1,58.0,6.43,6.37,4.04,4316
3,2,5,2,1.21,60.1,55.0,7.01,6.91,4.18,8870
2,4,6,7,0.72,62.5,57.0,5.7,5.73,3.57,2946
4,1,2,9,0.83,62.1,58.0,6.01,6.04,3.74,3002
2,6,2,2,1.17,62.3,55.0,6.74,6.77,4.21,4883
2,2,4,0,0.28,62.0,57.0,4.19,4.23,2.61,598
2,1,5,10,0.53,62.4,56.0,5.2,5.16,3.23,1813
4,5,3,5,1.0,60.8,63.0,6.41,6.34,3.88,3276
3,1,4,5,0.46,62.0,58.0,4.95,4.98,3.08,1294
2,0,2,10,0.34,60.6,56.0,4.54,4.51,2.74,803
4,1,5,10,0.3,62.9,58.0,4.22,4.24,2.66,658
4,1,5,11,1.01,60.4,58.0,6.47,6.51,3.92,6666
2,3,2,1,1.26,59.6,57.0,7.08,7.04,4.21,6738
2,2,4,10,0.36,61.6,56.0,4.62,4.64,2.85,819
1,6,2,3,2.01,63.6,59.0,7.96,8.01,5.08,12257
4,1,2,2,0.4,63.5,57.0,4.72,4.7,2.99,882
2,6,4,8,0.42,60.9,57.0,4.83,4.86,2.95,663
3,3,3,4,0.91,61.3,60.0,6.17,6.2,3.79,3423
2,3,1,10,0.51,62.4,54.0,5.12,5.17,3.21,2096
4,0,5,8,0.32,62.5,57.0,4.34,4.39,2.73,758
3,1,5,4,1.77,61.6,58.0,7.78,7.71,4.77,15278
3,2,7,2,0.3,61.6,58.0,4.28,4.35,2.66,737
4,0,3,5,1.51,63.2,59.0,7.25,7.18,4.56,7915
2,1,2,0,1.01,61.6,57.0,6.44,6.49,3.98,5206
3,3,4,5,1.58,60.8,58.0,7.58,7.52,4.59,11380
3,3,3,2,0.91,59.8,58.0,6.3,6.29,3.77,2813
4,0,2,12,0.7,62.5,55.0,5.67,5.72,3.56,2862
2,0,2,6,0.31,62.3,54.0,4.33,4.37,2.71,571
3,1,5,1,0.71,61.5,60.0,5.76,5.68,3.52,2858
1,6,5,12,1.5,63.6,58.0,7.23,7.2,4.59,7308
2,0,2,4,0.31,61.3,56.0,4.36,4.41,2.69,565
2,4,6,9,0.31,61.6,57.0,4.35,4.32,2.67,846
3,1,2,6,1.06,60.8,58.0,6.59,6.54,3.99,5485
2,2,4,11,0.32,61.0,54.0,4.42,4.44,2.7,716
4,1,2,3,1.01,63.3,58.0,6.39,6.37,4.04,5077
2,0,6,2,0.57,61.6,56.0,5.33,5.35,3.29,3126
4,2,5,10,0.9,63.4,58.0,6.07,6.11,3.86,4400
2,0,5,7,0.46,62.4,56.0,4.98,4.95,3.1,1298
4,4,4,3,0.9,62.3,59.0,6.12,6.17,3.83,4592
4,0,7,11,1.36,62.6,58.0,7.06,7.21,4.47,14236
1,1,3,1,0.54,63.8,54.0,5.17,5.18,3.3,1163
2,4,2,7,1.16,62.2,54.0,6.72,6.75,4.19,6036
4,6,2,1,2.13,62.8,58.0,8.13,8.17,5.12,13996
2,2,5,8,0.43,61.5,56.0,4.85,4.89,2.99,904
1,2,2,1,0.7,64.3,63.0,5.58,5.55,3.58,2059
0,1,3,1,1.01,64.6,59.0,6.22,6.18,4.01,3294
3,4,2,11,0.6,58.9,61.0,5.54,5.5,3.25,1341
1,2,4,5,0.9,63.3,59.0,6.03,6.07,3.83,4508
2,5,2,8,0.71,61.4,56.0,5.73,5.77,3.53,2376
2,1,1,5,0.32,62.6,55.0,4.38,4.41,2.75,1095
4,4,6,7,0.38,59.1,58.0,4.71,4.76,2.8,967
4,0,7,5,0.24,61.3,58.0,3.99,4.03,2.46,485
2,1,2,1,1.01,62.1,54.0,6.5,6.41,4.01,5599
1,3,2,12,0.9,63.7,60.0,6.11,6.07,3.88,3669
2,5,4,3,0.41,61.9,55.0,4.82,4.78,2.97,878
3,5,2,6,0.7,61.8,62.0,5.69,5.64,3.5,1914
3,1,3,11,0.5,60.1,60.0,5.13,5.05,3.06,1262
2,2,2,11,1.01,62.3,58.0,6.35,6.42,3.98,5646
4,3,2,10,0.42,63.2,57.0,4.79,4.77,3.02,945
2,6,5,6,1.7,62.5,57.0,7.6,7.63,4.76,9414
1,3,2,2,0.52,63.3,57.0,5.08,5.11,3.22,1244
1,1,7,5,0.4,58.5,60.0,4.82,4.86,2.83,1059
2,4,3,3,1.21,62.6,56.0,6.84,6.77,4.26,5624
4,4,3,12,0.9,62.3,61.0,6.15,6.17,3.84,3481
3,0,7,2,0.65,59.9,58.0,5.69,5.63,3.39,3003
1,6,2,5,1.01,58.8,57.0,6.57,6.63,3.88,3853
2,6,4,4,0.92,62.4,56.0,6.23,6.19,3.88,3332
2,3,1,9,0.33,61.7,55.0,4.47,4.45,2.75,1052
2,2,2,12,0.51,61.1,55.0,5.22,5.16,3.17,1593
3,3,1,11,1.04,61.3,58.0,6.52,6.43,3.97,9039
4,3,3,2,1.07,64.6,60.0,6.35,6.4,4.12,4340
2,3,5,10,1.22,62.0,55.0,6.91,6.83,4.26,8067
